 0, 7, 0, 6, 0,12,14, 0,11, 0, 0, 0, 2, 0, 0, 0
 0, 4, 0, 9, 0, 0, 0,11, 8, 0, 0, 0, 0, 0, 0, 0
 0, 5,11, 0, 2,10,16, 0, 4, 0,13, 0,12, 0, 0, 9
14, 3,12, 0, 0,13, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0
 8, 0, 0,10, 3, 0,12,16,14,11, 0, 0, 6,15, 0, 2
 0, 0, 0, 0, 9, 6, 0, 0, 2, 0, 0,13, 0, 1, 0, 0
 0, 0, 0, 2, 0, 0, 0, 0, 0,15, 0, 6, 0, 4, 0, 0
11, 0, 3,15,13, 0, 0, 0, 0, 8, 4, 0,16, 0, 0, 5
 0, 0, 6, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
 0, 0, 0, 0,15, 0, 1, 0, 0, 9, 0, 0, 0, 0,13, 0
 0, 0, 0,14, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0
 7, 0, 5, 8,11, 2,10, 0, 3, 0, 0, 0, 0, 9, 0,14
 0, 0, 0, 3, 0, 0, 2, 0,10, 0, 6, 0, 0, 0, 9, 0
 5, 0, 0, 0, 0,15, 6, 0, 0, 0, 0, 0, 0,10, 2, 0
 0, 0, 0, 0, 0, 8, 0,13, 7, 2, 0, 0, 0, 5, 0,12
13,12, 0, 0, 0, 0, 0, 7, 0, 0,16, 0,11,14, 0, 0
